result,rollno
,17H71A1201
,17H71A1202
,17H71A1204
,17H71A1203
,17H71A1205
,17H71A1206
,17H71A1207
,17H71A1208
,17H71A1209
,17H71A1210
,17H71A1211
,17H71A1212
,17H71A1213
,17H71A1214
,17H71A1215
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,F,0,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1216
,17H71A1217
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1218
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1219
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,A,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,S,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1220
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,S,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1221
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1222
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1223
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1224
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,S,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1225
,17H71A1226
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1227
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1228
"R1631052,UNIX AND SHELL PROGRAMMING,S,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1229
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1230
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,F,0,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1231
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1232
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1233
,17H71A1234
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,A,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1235
,17H71A1236
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1237
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1238
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1239
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1240
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1241
,17H71A1242
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1243
"R1631052,UNIX AND SHELL PROGRAMMING,S,3,R1631054,DATABASE MANAGEMENT SYSTEMS,S,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1244
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1245
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1246
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1247
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,S,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1248
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1249
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1250
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1251
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,O,3,R1631055,OPERATING SYSTEMS,A,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1252
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1253
"R1631052,UNIX AND SHELL PROGRAMMING,O,3,R1631054,DATABASE MANAGEMENT SYSTEMS,A,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1254
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1255
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1256
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,S,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1257
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,F,0,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1258
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,F,0,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1259
